Employee ID,Gender,Ethnicity,Employment Status,Employee Type,Business Function,Job Level,Base Pay,Country Name,Job Designation,Performance Rating,Job Name
300041,Female,Hispanic,Full-Time,Regular Employee,Finance,P1,"$98,843.59",AU,Hybrid,Transformative Impact,Finance Manager
300042,Male,Black,Full-Time,Regular Employee,People,P6,"$54,583.09",AU,In_Office,Significant Impact,Recruiter
300043,Non-Binary,White,Full-Time,Regular Employee,Legal,E5,"$86,534.10",MX,Remote,Significant Impact,Paralegal
300044,Male,Other,Part-Time,Regular Employee,Marketing,S2,"$91,158.31",IN,Hybrid,More Impact Needed,Brand Manager
300045,Female,White,Full-Time,Regular Employee,Marketing,S4,"$78,523.16",GB,Hybrid,Significant Impact,SEO Analyst
300046,Male,Other,Contract,Regular Employee,Marketing,S4,"$83,180.20",MX,In_Office,Significant Impact,SEO Analyst
300047,Female,Hispanic,Full-Time,Regular Employee,Marketing,M5,"$72,303.53",US,In_Office,Significant Impact,Brand Manager
300048,Female,Black,Contract,Regular Employee,Engineering,E1,"$80,510.55",FR,Hybrid,Transformative Impact,Software Engineer
300049,Male,Black,Part-Time,Regular Employee,Marketing,S5,"$65,278.52",CL,Hybrid,Transformative Impact,SEO Analyst
300050,Non-Binary,Hispanic,Full-Time,Regular Fixed Term,Marketing,E5,"$79,526.09",IL,Hybrid,Significant Impact,Brand Manager
300051,Female,Asian,Full-Time,Regular Employee,Engineering,P2,"$69,244.04",PT,Remote,Transformative Impact,Machine Learning Engineer
300052,Non-Binary,White,Full-Time,Regular Employee,Finance,M1,"$69,238.54",MX,Hybrid,Transformative Impact,Accountant
300053,Female,White,Full-Time,Regular Employee,Technology,P4,"$61,698.66",AU,Hybrid,Significant Impact,Cybersecurity Analyst
300054,Female,Black,Full-Time,Regular Employee,Sales,P3,"$70,661.44",DO,Remote,More Impact Needed,Account Executive
300055,Non-Binary,Black,Full-Time,Regular Employee,Marketing,E3,"$105,175.35",CL,Remote,Significant Impact,Marketing Specialist
300056,Male,Black,Contract,Regular Employee,Technology,S1,"$70,172.70",CL,In_Office,Transformative Impact,Cybersecurity Analyst
300057,Male,Hispanic,Full-Time,Regular Employee,Marketing,M1,"$93,800.16",MX,Remote,Significant Impact,Marketing Specialist
300058,Male,Asian,Part-Time,Regular Employee,Legal,E2,"$85,476.73",ES,In_Office,Significant Impact,Compliance Officer
300059,Male,White,Contract,Regular Employee,People,M4,"$79,939.05",BR,Hybrid,Transformative Impact,HR Manager
300060,Male,Other,Part-Time,Regular Employee,Legal,P2,"$80,717.74",CR,In_Office,Significant Impact,Legal Counsel
300061,Male,Hispanic,Full-Time,Regular Employee,Marketing,P7,"$75,421.20",DE,In_Office,Transformative Impact,Brand Manager
300062,Female,White,Full-Time,Regular Employee,Finance,P1,"$63,359.22",CA,Hybrid,More Impact Needed,Accountant
300063,Male,Asian,Full-Time,Contingent Worker,Legal,S3,"$109,361.29",NL,Hybrid,Transformative Impact,Legal Counsel
300064,Male,Hispanic,Full-Time,Regular Employee,Finance,S4,"$96,159.38",PT,Remote,Transformative Impact,Accountant
300065,Female,White,Full-Time,Regular Employee,Finance,E5,"$75,861.99",PL,Hybrid,Transformative Impact,Accountant
300066,Male,Hispanic,Part-Time,Regular Employee,Marketing,S5,"$76,382.23",CR,Hybrid,Transformative Impact,Brand Manager
300067,Female,White,Full-Time,Regular Employee,Finance,M2,"$86,317.34",PL,Remote,Significant Impact,Financial Analyst
300068,Male,White,Full-Time,Regular Employee,Legal,P1,"$53,838.30",ES,Hybrid,More Impact Needed,Paralegal
300069,Non-Binary,Asian,Contract,Regular Employee,Engineering,S5,"$59,344.38",US,Hybrid,More Impact Needed,Software Engineer
300070,Female,Other,Full-Time,Regular Fixed Term,People,M6,"$37,462.73",PH,Remote,Significant Impact,HR Business Partner
300071,Male,Asian,Full-Time,Regular Employee,Finance,M2,"$70,769.71",DE,Hybrid,Significant Impact,Finance Manager
300072,Male,White,Part-Time,Regular Employee,Technology,M5,"$98,830.52",CR,In_Office,Significant Impact,Cybersecurity Analyst
300073,Female,Hispanic,Full-Time,Regular Employee,Marketing,M4,"$69,359.67",DE,Remote,Significant Impact,SEO Analyst
300074,Female,Asian,Full-Time,Regular Employee,Sales,E2,"$118,815.60",IN,Hybrid,More Impact Needed,Sales Associate
300075,Female,Other,Full-Time,Regular Employee,Finance,E6,"$66,287.69",GB,Hybrid,More Impact Needed,Financial Analyst
300076,Female,White,Part-Time,Regular Fixed Term,Technology,M5,"$78,559.70",US,In_Office,More Impact Needed,IT Support Specialist
300077,Male,Asian,Full-Time,Contingent Worker,Legal,P3,"$69,433.63",PT,Remote,More Impact Needed,Paralegal
300078,Male,Asian,Full-Time,Regular Employee,Finance,P5,"$30,220.04",PT,In_Office,Transformative Impact,Financial Analyst
300079,Male,Asian,Full-Time,Regular Employee,Sales,E2,"$69,494.74",MX,Hybrid,Significant Impact,Sales Associate
300080,Female,Asian,Full-Time,Regular Employee,Technology,S1,"$58,175.28",SG,Hybrid,More Impact Needed,Cybersecurity Analyst
300081,Female,Hispanic,Full-Time,Regular Employee,Engineering,S5,"$79,691.71",NL,Hybrid,Transformative Impact,Machine Learning Engineer
300082,Male,Other,Full-Time,Regular Employee,Legal,M4,"$100,516.45",HU,Remote,Transformative Impact,Compliance Officer
300083,Male,Other,Full-Time,Regular Employee,Legal,P3,"$67,943.27",HU,Hybrid,More Impact Needed,Compliance Officer
300084,Male,White,Full-Time,Regular Fixed Term,Marketing,P4,"$82,427.39",DO,Remote,Transformative Impact,Marketing Specialist
300085,Male,Black,Full-Time,Regular Employee,Legal,S1,"$70,732.29",IT,Hybrid,Transformative Impact,Legal Counsel
300086,Female,Hispanic,Full-Time,Regular Employee,Sales,M3,"$92,948.55",HU,Hybrid,Significant Impact,Sales Associate
300087,Female,White,Full-Time,Regular Employee,Technology,P4,"$120,612.71",PL,In_Office,Significant Impact,IT Support Specialist
300088,Female,White,Full-Time,Regular Employee,Legal,M3,"$104,699.28",CL,Hybrid,More Impact Needed,Paralegal
300089,Female,Asian,Full-Time,Regular Employee,Engineering,E5,"$62,674.90",FR,In_Office,Transformative Impact,Machine Learning Engineer
300090,Male,Black,Part-Time,Regular Employee,People,M1,"$102,620.13",JP,Remote,Significant Impact,Recruiter
300091,Female,Black,Part-Time,Regular Employee,People,M6,"$81,004.56",IN,Remote,Significant Impact,HR Business Partner
300092,Female,Hispanic,Full-Time,Regular Employee,Finance,P1,"$99,635.39",EG,Hybrid,Transformative Impact,Finance Manager
300093,Female,Black,Full-Time,Regular Employee,People,M4,"$54,473.47",IL,Hybrid,Significant Impact,HR Manager
300094,Female,White,Full-Time,Contingent Worker,Sales,P7,"$73,226.75",MX,Remote,Significant Impact,Account Executive
300095,Female,Black,Full-Time,Regular Employee,People,P6,"$78,572.94",ZA,Remote,Transformative Impact,HR Business Partner
300096,Female,Black,Full-Time,Regular Employee,Sales,S3,"$73,921.69",EG,Hybrid,Significant Impact,Sales Manager
300097,Male,Other,Full-Time,Regular Employee,Sales,E3,"$80,796.93",IL,Remote,Significant Impact,Account Executive
300098,Male,White,Part-Time,Regular Employee,Finance,P2,"$72,801.85",SG,Remote,Significant Impact,Financial Analyst
300099,Male,Black,Full-Time,Regular Employee,People,M1,"$67,871.53",IT,Hybrid,Transformative Impact,HR Manager
300100,Male,Black,Full-Time,Regular Employee,Finance,P3,"$65,853.22",NL,Remote,Transformative Impact,Financial Analyst
300101,Female,Asian,Part-Time,Regular Employee,Legal,E1,"$58,625.94",DO,Hybrid,Significant Impact,Paralegal
300102,Male,Black,Full-Time,Regular Employee,Engineering,E5,"$81,166.66",JP,In_Office,More Impact Needed,Machine Learning Engineer
300103,Female,Black,Full-Time,Regular Employee,Technology,S4,"$72,149.74",CR,In_Office,Significant Impact,Cloud Engineer
300104,Non-Binary,Other,Contract,Contingent Worker,People,P7,"$64,209.07",IE,Hybrid,Significant Impact,HR Business Partner
300105,Male,White,Part-Time,Contingent Worker,Legal,M6,"$45,024.46",MX,In_Office,Significant Impact,Legal Counsel
300106,Male,Hispanic,Part-Time,Contingent Worker,Marketing,M6,"$85,770.72",MX,Remote,Significant Impact,Marketing Specialist
300107,Female,White,Full-Time,Regular Employee,Technology,M3,"$88,513.34",NL,Hybrid,Significant Impact,Cybersecurity Analyst
300108,Male,Asian,Full-Time,Regular Employee,Technology,E5,"$56,247.61",SG,Hybrid,Transformative Impact,Cybersecurity Analyst
300109,Male,White,Contract,Regular Fixed Term,Technology,E2,"$77,060.54",MX,In_Office,Significant Impact,IT Support Specialist
300110,Male,Black,Full-Time,Regular Employee,Legal,E1,"$64,097.15",PH,Remote,Significant Impact,Paralegal
300111,Male,Asian,Part-Time,Regular Employee,Finance,M5,"$89,365.68",PH,Remote,Significant Impact,Finance Manager
300112,Non-Binary,White,Full-Time,Regular Employee,Finance,P6,"$65,086.01",JP,Hybrid,Significant Impact,Accountant
300113,Female,Asian,Full-Time,Regular Employee,Technology,M2,"$65,169.86",SG,In_Office,Significant Impact,Cloud Engineer
300114,Female,Hispanic,Contract,Regular Employee,Technology,M2,"$77,620.27",CL,Hybrid,Significant Impact,Cybersecurity Analyst
300115,Female,White,Full-Time,Regular Employee,Engineering,P2,"$66,598.55",JP,Hybrid,More Impact Needed,Software Engineer
300116,Female,Black,Full-Time,Regular Employee,Engineering,S4,"$65,228.07",NL,In_Office,Significant Impact,Software Engineer
300117,Male,Asian,Full-Time,Regular Employee,Technology,E1,"$62,705.33",EG,Hybrid,Significant Impact,Cybersecurity Analyst
300118,Female,Other,Full-Time,Regular Employee,Engineering,E1,"$66,154.15",PH,Remote,Significant Impact,Machine Learning Engineer
300119,Female,Asian,Full-Time,Regular Employee,Technology,P2,"$67,501.18",AU,Remote,Transformative Impact,Cloud Engineer
300120,Female,Other,Full-Time,Contingent Worker,Engineering,E1,"$75,257.36",DO,In_Office,Significant Impact,Software Engineer
300121,Female,Black,Full-Time,Regular Employee,Technology,M1,"$71,760.90",EG,In_Office,Significant Impact,IT Support Specialist
300122,Male,Hispanic,Part-Time,Regular Employee,Finance,S5,"$84,891.43",CR,Remote,Transformative Impact,Accountant
300123,Male,Other,Full-Time,Regular Employee,Sales,M5,"$51,931.09",ES,Hybrid,Transformative Impact,Sales Associate
300124,Male,Hispanic,Contract,Regular Employee,Finance,S3,"$116,784.04",DO,Hybrid,Significant Impact,Accountant
300125,Male,Asian,Full-Time,Regular Employee,Sales,E1,"$75,442.93",CL,Hybrid,Significant Impact,Sales Associate
300126,Female,Black,Full-Time,Regular Employee,Finance,E6,"$94,426.22",UY,Hybrid,Significant Impact,Finance Manager
300127,Female,Other,Full-Time,Regular Fixed Term,Marketing,S4,"$84,659.06",PT,Remote,Significant Impact,Brand Manager
300128,Male,Asian,Part-Time,Regular Employee,Finance,E2,"$77,413.52",EG,Hybrid,Significant Impact,Accountant
300129,Female,White,Contract,Regular Fixed Term,Engineering,E3,"$84,023.72",BR,Hybrid,More Impact Needed,Software Engineer
300130,Male,Asian,Part-Time,Regular Employee,Sales,S5,"$81,792.60",CR,Remote,Significant Impact,Account Executive
300131,Male,Hispanic,Full-Time,Regular Employee,Legal,E3,"$71,486.17",CA,Remote,Transformative Impact,Compliance Officer
300132,Male,Black,Full-Time,Regular Employee,Marketing,P7,"$122,874.80",CR,In_Office,Transformative Impact,Marketing Specialist
300133,Male,Black,Part-Time,Contingent Worker,Legal,S5,"$97,294.84",US,Hybrid,More Impact Needed,Paralegal
300134,Non-Binary,Asian,Contract,Regular Fixed Term,Marketing,M3,"$43,115.17",PT,Hybrid,Significant Impact,Marketing Specialist
300135,Male,White,Contract,Regular Employee,Legal,M4,"$96,018.25",AU,Remote,Significant Impact,Legal Counsel
300136,Female,Hispanic,Full-Time,Regular Employee,Engineering,E2,"$76,416.30",DO,Hybrid,Significant Impact,Software Engineer
300137,Female,Asian,Contract,Regular Employee,Legal,E2,"$107,732.78",FR,Remote,Significant Impact,Compliance Officer
300138,Male,Asian,Full-Time,Regular Employee,Technology,P5,"$68,473.08",IT,Remote,Significant Impact,Cybersecurity Analyst
300139,Non-Binary,Black,Full-Time,Regular Fixed Term,Finance,M2,"$30,000.00",AU,In_Office,Transformative Impact,Accountant
300140,Non-Binary,Hispanic,Full-Time,Regular Employee,Engineering,E5,"$67,975.53",JP,Remote,Significant Impact,Software Engineer
300141,Male,White,Full-Time,Regular Employee,Technology,E6,"$42,958.41",CL,Hybrid,Significant Impact,Cloud Engineer
300142,Female,Black,Part-Time,Regular Employee,Legal,E1,"$61,385.47",IT,Remote,Significant Impact,Paralegal
300143,Male,Asian,Part-Time,Regular Fixed Term,Engineering,S4,"$63,584.80",ES,In_Office,Transformative Impact,Software Engineer
300144,Male,Black,Part-Time,Regular Employee,Finance,M5,"$82,553.76",EG,Hybrid,Significant Impact,Finance Manager
300145,Male,Black,Full-Time,Regular Fixed Term,Engineering,P2,"$80,097.09",ZA,Remote,More Impact Needed,Software Engineer
300146,Female,Other,Full-Time,Regular Employee,Legal,P4,"$87,801.00",NL,Remote,Significant Impact,Legal Counsel
300147,Female,Black,Part-Time,Regular Employee,Engineering,E1,"$86,092.71",PT,In_Office,Significant Impact,Software Engineer
300148,Male,Black,Full-Time,Regular Employee,Marketing,P7,"$113,826.97",JP,Remote,More Impact Needed,SEO Analyst
300149,Male,Hispanic,Part-Time,Regular Employee,People,S5,"$75,031.90",FR,Remote,More Impact Needed,HR Manager
300150,Non-Binary,Black,Full-Time,Regular Employee,Legal,P3,"$85,284.02",JP,Remote,More Impact Needed,Compliance Officer
300151,Male,White,Full-Time,Contingent Worker,Finance,P7,"$92,692.61",PT,In_Office,More Impact Needed,Financial Analyst
300152,Male,Asian,Full-Time,Regular Employee,Sales,S4,"$62,082.70",PL,Remote,More Impact Needed,Sales Associate
300153,Female,Hispanic,Part-Time,Regular Employee,Engineering,P1,"$49,717.29",IT,In_Office,Transformative Impact,Software Engineer
300154,Non-Binary,Black,Full-Time,Regular Employee,Marketing,P1,"$82,368.30",PT,In_Office,Significant Impact,Brand Manager
300155,Male,White,Full-Time,Regular Employee,Engineering,E6,"$67,009.53",ES,Hybrid,Significant Impact,Data Engineer
300156,Female,Asian,Part-Time,Regular Employee,Legal,M2,"$90,604.32",CR,Remote,Transformative Impact,Paralegal
300157,Female,Hispanic,Full-Time,Regular Employee,Marketing,P2,"$89,687.24",BR,In_Office,Transformative Impact,Marketing Specialist
300158,Male,White,Part-Time,Regular Employee,Legal,M4,"$94,782.17",IL,Hybrid,Significant Impact,Paralegal
300159,Female,Black,Full-Time,Regular Fixed Term,People,M1,"$59,282.89",JP,Hybrid,Significant Impact,HR Business Partner
300160,Male,Other,Full-Time,Regular Employee,Finance,S3,"$63,511.18",IE,Hybrid,More Impact Needed,Financial Analyst
300161,Female,Other,Part-Time,Contingent Worker,Marketing,M2,"$77,139.71",IE,Hybrid,Transformative Impact,Marketing Specialist
300162,Female,Hispanic,Full-Time,Contingent Worker,Marketing,P7,"$71,437.03",IE,In_Office,Transformative Impact,Brand Manager
300163,Female,White,Full-Time,Regular Employee,Engineering,P4,"$84,131.56",MX,Remote,Significant Impact,Data Engineer
300164,Male,Asian,Full-Time,Regular Employee,Engineering,M3,"$102,203.09",US,Hybrid,Significant Impact,Machine Learning Engineer
300165,Female,White,Full-Time,Regular Employee,Sales,S2,"$73,005.35",AU,Remote,Significant Impact,Sales Associate
300166,Male,Other,Full-Time,Regular Employee,Technology,P5,"$47,888.73",PT,Hybrid,Significant Impact,Cybersecurity Analyst
300167,Male,Hispanic,Full-Time,Contingent Worker,Marketing,P6,"$35,929.90",PL,Remote,Significant Impact,Brand Manager
300168,Male,Black,Part-Time,Regular Employee,Engineering,E3,"$49,159.48",ZA,Remote,Significant Impact,Machine Learning Engineer
300169,Female,White,Part-Time,Regular Employee,Engineering,P2,"$48,500.82",UY,Remote,More Impact Needed,Software Engineer
300170,Female,Other,Full-Time,Regular Fixed Term,Technology,M4,"$88,344.62",CL,Hybrid,Significant Impact,Cybersecurity Analyst
300171,Male,Asian,Full-Time,Regular Fixed Term,People,S2,"$74,041.05",PL,Remote,Transformative Impact,HR Business Partner
300172,Female,Hispanic,Full-Time,Regular Employee,Sales,P4,"$76,494.92",CR,In_Office,Significant Impact,Sales Associate
300173,Male,Black,Full-Time,Regular Employee,Technology,P5,"$89,432.85",GB,Hybrid,More Impact Needed,IT Support Specialist
300174,Female,White,Full-Time,Regular Employee,Engineering,P5,"$102,258.50",BR,Hybrid,Transformative Impact,Software Engineer
300175,Male,Asian,Full-Time,Regular Employee,Engineering,S1,"$71,104.41",BR,Hybrid,Significant Impact,Data Engineer
300176,Female,Black,Full-Time,Regular Employee,Finance,E5,"$89,854.73",UY,Hybrid,Significant Impact,Finance Manager
300177,Male,Other,Full-Time,Regular Employee,Marketing,S1,"$82,043.79",IT,Remote,Significant Impact,SEO Analyst
300178,Non-Binary,Other,Full-Time,Regular Employee,Engineering,S1,"$43,853.00",CA,Remote,Significant Impact,Software Engineer
300179,Male,Asian,Part-Time,Regular Employee,People,E2,"$45,313.56",DE,Hybrid,Significant Impact,HR Manager
300180,Male,Other,Part-Time,Regular Employee,Engineering,M1,"$68,203.69",PH,Hybrid,Significant Impact,Data Engineer
300181,Male,Hispanic,Full-Time,Contingent Worker,Marketing,P2,"$78,938.22",CL,Hybrid,Transformative Impact,Marketing Specialist
300182,Non-Binary,Asian,Part-Time,Regular Employee,Engineering,P4,"$84,611.64",CR,Remote,Significant Impact,Data Engineer
300183,Female,Other,Full-Time,Contingent Worker,Technology,M5,"$71,046.47",PL,Remote,Transformative Impact,Cloud Engineer
300184,Male,White,Part-Time,Regular Fixed Term,Legal,S4,"$41,075.75",DO,Hybrid,Significant Impact,Compliance Officer
300185,Female,Other,Full-Time,Regular Employee,Engineering,M5,"$67,643.35",DO,Remote,Significant Impact,Software Engineer
300186,Female,Hispanic,Part-Time,Regular Employee,Sales,E5,"$38,248.54",JP,Hybrid,Transformative Impact,Sales Manager
300187,Female,Black,Full-Time,Regular Employee,Marketing,P3,"$70,906.46",DE,Hybrid,Significant Impact,Marketing Specialist
300188,Female,Black,Full-Time,Contingent Worker,Marketing,M3,"$86,209.92",CL,Hybrid,Significant Impact,SEO Analyst
300189,Male,Other,Full-Time,Regular Employee,Legal,M1,"$83,577.12",BR,Hybrid,Significant Impact,Legal Counsel
300190,Male,Black,Full-Time,Regular Employee,Sales,P1,"$64,955.04",DE,Hybrid,Transformative Impact,Account Executive
300191,Female,Other,Full-Time,Regular Employee,Sales,M3,"$83,090.23",DO,In_Office,Transformative Impact,Sales Manager
300192,Non-Binary,Hispanic,Full-Time,Regular Employee,Marketing,M1,"$52,603.85",BR,In_Office,Significant Impact,Marketing Specialist
300193,Female,Black,Part-Time,Contingent Worker,People,P4,"$62,163.23",MX,Hybrid,Significant Impact,HR Manager
300194,Male,White,Full-Time,Regular Employee,Engineering,S1,"$41,864.83",FR,Hybrid,Significant Impact,Machine Learning Engineer
300195,Male,Other,Full-Time,Regular Employee,Sales,P3,"$64,373.04",DO,Hybrid,Significant Impact,Account Executive
300196,Female,Black,Full-Time,Regular Employee,Engineering,E3,"$59,493.65",ES,Remote,Transformative Impact,Data Engineer
300197,Female,Hispanic,Contract,Regular Employee,Engineering,P7,"$66,822.79",NL,Hybrid,Transformative Impact,Machine Learning Engineer
300198,Female,Hispanic,Part-Time,Regular Fixed Term,Technology,M5,"$69,565.26",NL,Hybrid,Significant Impact,IT Support Specialist
300199,Female,White,Part-Time,Regular Employee,People,P3,"$79,987.31",US,Hybrid,Transformative Impact,Recruiter
300200,Female,Hispanic,Full-Time,Regular Employee,People,P3,"$35,728.56",BR,Hybrid,More Impact Needed,HR Manager
300201,Male,Hispanic,Full-Time,Regular Employee,Sales,S4,"$57,801.51",UY,In_Office,Significant Impact,Account Executive
300202,Male,Black,Full-Time,Regular Employee,Sales,M2,"$94,568.26",SG,Hybrid,More Impact Needed,Sales Associate
300203,Female,Other,Full-Time,Regular Employee,Marketing,M2,"$94,912.56",US,Hybrid,Transformative Impact,Brand Manager
300204,Female,Asian,Full-Time,Regular Employee,Technology,S3,"$76,114.29",UY,Remote,Transformative Impact,IT Support Specialist
300205,Male,Hispanic,Full-Time,Regular Employee,Technology,S4,"$76,545.14",HU,Remote,Significant Impact,IT Support Specialist
300206,Male,Hispanic,Full-Time,Regular Employee,Legal,S5,"$52,455.02",NL,Remote,Transformative Impact,Compliance Officer
300207,Female,Asian,Full-Time,Regular Employee,Engineering,M6,"$67,531.86",DE,Remote,Significant Impact,Data Engineer
300208,Male,Hispanic,Full-Time,Regular Fixed Term,Marketing,P7,"$91,442.26",US,In_Office,Significant Impact,Marketing Specialist
300209,Male,Black,Part-Time,Regular Employee,Engineering,M5,"$50,109.92",AU,Remote,Significant Impact,Machine Learning Engineer
300210,Female,Black,Full-Time,Regular Employee,People,P4,"$77,893.66",IN,In_Office,Significant Impact,HR Manager
300211,Female,Asian,Part-Time,Regular Employee,People,P1,"$86,138.11",PT,Remote,Significant Impact,HR Business Partner
300212,Female,Hispanic,Full-Time,Regular Employee,Technology,S5,"$75,947.29",NL,Remote,More Impact Needed,Cloud Engineer
300213,Male,Hispanic,Full-Time,Regular Employee,Marketing,P6,"$72,023.63",IL,Remote,Transformative Impact,SEO Analyst
300214,Female,Other,Full-Time,Regular Employee,Sales,S4,"$71,817.94",US,Remote,Transformative Impact,Sales Associate
300215,Male,Hispanic,Part-Time,Regular Employee,Legal,P6,"$85,011.57",UY,Hybrid,Transformative Impact,Compliance Officer
300216,Male,Black,Full-Time,Regular Employee,Technology,E1,"$78,891.89",IE,Hybrid,Transformative Impact,Cloud Engineer
300217,Female,White,Part-Time,Regular Employee,Legal,M1,"$84,889.54",CR,Hybrid,Transformative Impact,Paralegal
300218,Female,White,Full-Time,Regular Employee,People,S3,"$67,663.19",BR,In_Office,Transformative Impact,Recruiter
300219,Female,White,Full-Time,Regular Employee,People,P4,"$68,584.28",IN,Remote,Significant Impact,HR Business Partner
300220,Female,White,Part-Time,Regular Employee,Legal,S1,"$85,978.26",IT,Remote,Transformative Impact,Legal Counsel
300221,Female,Hispanic,Full-Time,Regular Employee,Legal,P3,"$57,162.51",DO,In_Office,Transformative Impact,Compliance Officer
300222,Male,Hispanic,Part-Time,Regular Employee,Sales,M5,"$52,426.23",PT,Hybrid,Transformative Impact,Sales Associate
300223,Male,Other,Full-Time,Regular Fixed Term,Legal,M5,"$120,456.48",DE,Hybrid,Significant Impact,Paralegal
300224,Male,Hispanic,Full-Time,Regular Employee,Engineering,S5,"$83,454.24",JP,In_Office,Significant Impact,Machine Learning Engineer
